"Date écriture";Code;"Numéro de compte";"Numéro de pièce";"Nom du projet (si existant)";"Montant débit";"Montant crédit"
25/04/24;VT;411OLLIVIER;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";126,59;
25/04/24;VT;706902;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;1,36
25/04/24;VT;706912;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;18,38
25/04/24;VT;7069111;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;60,35
25/04/24;VT;706201;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;38,00
25/04/24;VT;706913;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;0,90
25/04/24;VT;445712;27813;"776048964070 - 240422007 SAS OLLIVIER-COTTENCEAU New Wave P 2 US";;7,60
25/04/24;VT;411PAULMAS;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";144,36;
25/04/24;VT;706902;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;2,72
25/04/24;VT;706912;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;22,16
25/04/24;VT;7069111;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;72,08
25/04/24;VT;706201;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;38,00
25/04/24;VT;706913;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;1,80
25/04/24;VT;445712;27814;"776049351839 - 240422011 D PAUL MAS ""DPM"" ALAIN JUNGUENET SELECTION P 4 US";;7,60
25/04/24;VT;411LACOST;27815;"776050147709 - 240422019 LA COSTE DISTRIBUTION Life House palm springs P MAT US";350,71;
25/04/24;VT;706902;27815;"776050147709 - 240422019 LA COSTE DISTRIBUTION Life House palm springs P MAT US";;32,47
25/04/24;VT;706912;27815;"776050147709 - 240422019 LA COSTE DISTRIBUTION Life House palm springs P MAT US";;73,44
25/04/24;VT;7069111;27815;"776050147709 - 240422019 LA COSTE DISTRIBUTION Life House palm springs P MAT US";;233,85
25/04/24;VT;706913;27815;"776050147709 - 240422019 LA COSTE DISTRIBUTION Life House palm springs P MAT US";;10,95
